param solar_avail : A	B	C	D	E	F	G	H	I	J	K :=
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.008	0.012	0.014	0.019	0.019	0.034	0.052	0.045	0.045	0.045	0.045
10	0.073	0.114	0.148	0.144	0.168	0.208	0.22	0.202	0.202	0.202	0.202
11	0.225	0.182	0.243	0.297	0.298	0.328	0.311	0.34	0.34	0.34	0.34
12	0.216	0.202	0.365	0.381	0.388	0.387	0.389	0.447	0.447	0.447	0.447
13	0.251	0.244	0.343	0.365	0.423	0.396	0.407	0.473	0.473	0.473	0.473
14	0.243	0.271	0.241	0.347	0.321	0.384	0.406	0.447	0.447	0.447	0.447
15	0.191	0.17	0.302	0.281	0.24	0.289	0.332	0.358	0.358	0.358	0.358
16	0.084	0.122	0.124	0.128	0.101	0.182	0.188	0.223	0.223	0.223	0.223
17	0.056	0.052	0.055	0.019	0.03	0.031	0.042	0.062	0.062	0.062	0.062
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	0.008	0.01	0.011	0.019	0.016	0.034	0.046	0.044	0.044	0.044	0.044
34	0.078	0.097	0.092	0.108	0.098	0.117	0.212	0.204	0.204	0.204	0.204
35	0.053	0.15	0.065	0.235	0.083	0.278	0.335	0.335	0.335	0.335	0.335
36	0.088	0.108	0.129	0.271	0.156	0.364	0.417	0.396	0.396	0.396	0.396
37	0.085	0.072	0.358	0.158	0.132	0.307	0.395	0.462	0.462	0.462	0.462
38	0.1	0.088	0.337	0.222	0.168	0.127	0.334	0.434	0.434	0.434	0.434
39	0.305	0.061	0.282	0.162	0.112	0.218	0.222	0.348	0.348	0.348	0.348
40	0.228	0.195	0.195	0.088	0.104	0.131	0.199	0.218	0.218	0.218	0.218
41	0.072	0.067	0.058	0.018	0.03	0.031	0.051	0.069	0.069	0.069	0.069
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	0.011	0.013	0.019	0.02	0.02	0.033	0.048	0.065	0.065	0.065	0.065
58	0.135	0.141	0.16	0.086	0.1	0.204	0.225	0.226	0.226	0.226	0.226
59	0.232	0.304	0.312	0.15	0.303	0.317	0.345	0.261	0.261	0.261	0.261
60	0.335	0.357	0.389	0.195	0.181	0.421	0.373	0.416	0.416	0.416	0.416
61	0.374	0.387	0.379	0.125	0.175	0.426	0.399	0.339	0.339	0.339	0.339
62	0.362	0.366	0.357	0.197	0.307	0.403	0.373	0.326	0.326	0.326	0.326
63	0.279	0.296	0.3	0.13	0.149	0.278	0.296	0.268	0.268	0.268	0.268
64	0.173	0.205	0.189	0.092	0.157	0.195	0.188	0.176	0.176	0.176	0.176
65	0.075	0.068	0.054	0.019	0.038	0.037	0.054	0.072	0.072	0.072	0.072
66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	0.006	0.011	0.011	0.019	0.017	0.017	0.019	0.011	0.011	0.011	0.011
82	0.105	0.089	0.088	0.087	0.099	0.051	0.057	0.023	0.023	0.023	0.023
83	0.138	0.192	0.099	0.08	0.114	0.104	0.119	0.017	0.017	0.017	0.017
84	0.204	0.273	0.131	0.135	0.142	0.143	0.17	0.008	0.008	0.008	0.008
85	0.302	0.206	0.16	0.223	0.203	0.141	0.211	0.012	0.012	0.012	0.012
86	0.373	0.15	0.198	0.155	0.217	0.142	0.179	0.045	0.045	0.045	0.045
87	0.183	0.131	0.152	0.084	0.184	0.2	0.109	0.028	0.028	0.028	0.028
88	0.055	0.093	0.143	0.072	0.09	0.087	0.095	0.034	0.034	0.034	0.034
89	0.068	0.053	0.051	0.019	0.028	0.023	0.025	0.017	0.017	0.017	0.017
90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
105	0.008	0.011	0.015	0.021	0.019	0.033	0.046	0.047	0.047	0.047	0.047
106	0.091	0.115	0.108	0.103	0.158	0.151	0.211	0.192	0.192	0.192	0.192
107	0.138	0.242	0.253	0.241	0.228	0.277	0.307	0.271	0.271	0.271	0.271
108	0.265	0.355	0.355	0.331	0.249	0.358	0.397	0.343	0.343	0.343	0.343
109	0.273	0.383	0.38	0.255	0.252	0.381	0.413	0.362	0.362	0.362	0.362
110	0.293	0.366	0.377	0.354	0.294	0.302	0.395	0.335	0.335	0.335	0.335
111	0.099	0.293	0.312	0.293	0.206	0.212	0.311	0.297	0.297	0.297	0.297
112	0.06	0.114	0.157	0.145	0.204	0.018	0.211	0.23	0.23	0.23	0.23
113	0.064	0.068	0.067	0.023	0.037	0.029	0.05	0.071	0.071	0.071	0.071
114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
129	0.008	0.011	0.014	0.019	0.018	0.034	0.048	0.049	0.049	0.049	0.049
130	0.055	0.112	0.121	0.092	0.151	0.114	0.224	0.183	0.183	0.183	0.183
131	0.197	0.249	0.266	0.214	0.294	0.305	0.32	0.275	0.275	0.275	0.275
132	0.145	0.352	0.348	0.257	0.396	0.382	0.407	0.36	0.36	0.36	0.36
133	0.369	0.409	0.41	0.385	0.315	0.386	0.42	0.396	0.396	0.396	0.396
134	0.319	0.385	0.398	0.365	0.408	0.375	0.399	0.363	0.363	0.363	0.363
135	0.285	0.33	0.336	0.263	0.336	0.285	0.316	0.306	0.306	0.306	0.306
136	0.092	0.238	0.202	0.106	0.212	0.206	0.227	0.225	0.225	0.225	0.225
137	0.051	0.075	0.056	0.024	0.038	0.039	0.052	0.065	0.065	0.065	0.065
138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	0.008	0.01	0.014	0.02	0.019	0.034	0.045	0.045	0.045	0.045	0.045
154	0.101	0.118	0.126	0.151	0.152	0.205	0.206	0.193	0.193	0.193	0.193
155	0.236	0.247	0.24	0.294	0.252	0.336	0.311	0.268	0.268	0.268	0.268
156	0.332	0.326	0.334	0.285	0.292	0.419	0.396	0.319	0.319	0.319	0.319
157	0.386	0.402	0.397	0.31	0.307	0.392	0.413	0.356	0.356	0.356	0.356
