param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
1	3781.81	2375.15	4109.51	1354.0	2063.67	3107.49	2547.94	756.91	1442.23	12551.28	5269.68
2	3906.4	2453.45	4253.28	1417.76	2115.02	3191.88	2600.4	782.62	1481.54	12981.89	5391.84
3	3910.03	2444.91	4247.05	1423.02	2115.58	3194.66	2581.28	783.65	1467.58	12915.68	5324.78
4	3934.7	2439.86	4241.08	1435.16	2116.03	3201.45	2597.02	773.02	1448.28	12862.37	5293.15
5	3997.58	2493.27	4290.72	1469.43	2161.83	3263.68	2650.63	790.4	1472.68	13081.27	5388.36
6	4095.4	2569.75	4420.42	1502.17	2226.7	3329.96	2718.21	811.18	1519.15	13382.38	5521.01
7	4240.91	2669.73	4587.88	1547.31	2308.77	3445.59	2802.67	841.24	1567.33	13827.52	5694.76
8	4377.69	2761.85	4736.12	1577.91	2393.83	3548.63	2871.44	866.84	1609.66	14190.23	5816.09
9	4362.42	2757.09	4753.39	1583.05	2434.41	3592.11	2897.21	876.88	1608.56	14246.68	5837.47
10	4248.2	2695.86	4660.17	1518.45	2393.12	3533.98	2842.97	850.95	1568.28	13892.91	5716.25
11	4085.92	2600.77	4493.42	1412.24	2325.48	3426.25	2751.59	831.14	1528.66	13409.06	5543.88
12	3927.61	2515.02	4293.84	1348.48	2245.05	3314.18	2652.17	799.87	1477.25	13039.58	5371.15
13	3783.02	2429.2	4100.1	1292.1	2154.14	3201.84	2559.42	768.64	1440.74	12607.89	5180.55
14	3671.7	2345.56	3963.98	1233.55	2073.62	3100.03	2461.03	746.58	1386.71	12243.46	5010.36
15	3592.2	2293.94	3908.56	1205.07	2014.41	3027.31	2401.68	738.74	1363.86	12023.28	4923.55
16	3568.65	2296.49	3917.39	1193.91	2003.07	3003.18	2409.83	724.84	1358.76	11944.95	4928.32
17	3683.61	2408.62	4092.94	1224.27	2074.9	3147.81	2519.05	770.75	1426.63	12260.87	5215.2
18	3921.37	2606.31	4354.85	1268.82	2205.67	3339.01	2695.21	841.41	1527.06	12795.26	5640.15
19	3973.29	2621.34	4393.48	1288.91	2223.89	3360.16	2723.31	861.34	1556.87	12951.94	5716.59
20	3995.28	2607.25	4382.61	1300.77	2210.33	3359.68	2722.11	862.22	1561.12	13010.19	5701.95
21	3954.84	2557.76	4342.52	1321.19	2167.27	3296.8	2683.61	840.95	1542.72	12906.85	5617.68
22	3879.21	2488.42	4231.65	1318.78	2097.09	3208.68	2623.77	805.81	1499.45	12768.59	5474.77
23	3772.73	2388.9	4085.29	1297.25	2005.81	3095.33	2519.77	766.24	1437.1	12512.38	5247.26
24	3646.87	2285.49	3975.08	1307.1	1942.79	2991.86	2429.05	724.37	1373.32	12140.16	5004.83
25	3586.61	2234.27	3893.41	1297.84	1896.49	2937.28	2351.05	717.11	1333.27	11824.21	4835.91
26	3533.92	2196.04	3839.93	1290.09	1878.53	2903.22	2321.73	685.06	1308.67	11542.82	4716.22
27	3522.43	2187.26	3842.23	1290.95	1873.53	2893.3	2311.79	678.7	1288.18	11420.81	4684.65
28	3534.9	2194.96	3852.69	1297.99	1888.61	2903.8	2316.82	681.59	1282.83	11407.02	4690.88
29	3604.71	2248.92	3926.85	1318.29	1928.39	2957.9	2351.63	695.73	1305.71	11557.67	4767.13
30	3739.37	2363.52	4101.69	1350.45	2001.13	3072.88	2452.61	723.46	1367.72	11994.7	4961.07
31	3954.96	2540.53	4374.29	1402.53	2149.47	3294.98	2607.42	787.8	1464.82	12772.31	5343.53
32	4139.24	2662.7	4530.91	1433.51	2239.89	3418.27	2706.35	813.87	1554.06	13456.77	5571.45
33	4145.26	2655.96	4505.35	1416.25	2273.78	3400.88	2692.17	801.76	1572.9	13699.42	5556.1
34	4062.33	2607.9	4399.64	1367.1	2244.74	3328.59	2614.23	778.78	1543.0	13564.01	5383.39
