param wind_avail : A	B	C	D	E	F	G	H	I	J	K :=
1	0.497	0.762	0.365	0.614	0.222	0.0	0.0	0.0	0.0	0.643	0.903
2	0.327	0.493	0.432	0.614	0.16	0.0	0.0	0.0	0.0	0.545	0.893
3	0.339	0.533	0.391	0.466	0.093	0.0	0.0	0.0	0.0	0.471	0.907
4	0.381	0.497	0.312	0.503	0.056	0.0	0.0	0.0	0.0	0.434	0.896
5	0.108	0.295	0.312	0.444	0.049	0.0	0.0	0.0	0.0	0.451	0.88
6	0.116	0.267	0.231	0.502	0.072	0.0	0.0	0.0	0.0	0.652	0.9
7	0.578	0.242	0.26	0.513	0.095	0.0	0.0	0.0	0.0	0.45	0.923
8	0.645	0.341	0.4	0.567	0.036	0.0	0.0	0.0	0.0	0.403	0.91
9	0.63	0.276	0.241	0.598	0.044	0.0	0.0	0.0	0.0	0.549	0.873
10	0.789	0.29	0.234	0.509	0.225	0.0	0.0	0.0	0.0	0.571	0.895
11	0.864	0.33	0.305	0.512	0.599	0.0	0.0	0.0	0.0	0.662	0.921
12	0.993	0.316	0.402	0.571	0.457	0.0	0.0	0.0	0.0	0.622	0.888
13	0.992	0.425	0.38	0.69	0.152	0.0	0.0	0.0	0.0	0.69	0.861
14	0.996	0.955	0.35	0.725	0.084	0.0	0.0	0.0	0.0	0.836	0.86
15	0.995	0.995	0.455	0.577	0.073	0.0	0.0	0.0	0.0	0.818	0.923
16	0.967	0.983	0.638	0.329	0.076	0.0	0.0	0.0	0.0	0.832	0.944
17	0.927	0.975	0.689	0.149	0.169	0.0	0.0	0.0	0.0	0.727	0.979
18	0.981	0.992	0.728	0.095	0.421	0.0	0.0	0.0	0.0	0.654	1.0
19	0.996	0.997	0.885	0.048	0.788	0.0	0.0	0.0	0.0	0.612	1.0
20	0.999	0.999	0.977	0.035	0.634	0.0	0.0	0.0	0.0	0.767	1.0
21	1.0	0.999	0.997	0.02	0.196	0.0	0.0	0.0	0.0	0.765	1.0
22	0.999	0.999	0.995	0.0	0.584	0.0	0.0	0.0	0.0	0.833	1.0
23	0.999	0.999	0.99	0.0	0.846	0.0	0.0	0.0	0.0	0.925	0.97
24	0.999	0.999	0.967	0.0	0.846	0.0	0.0	0.0	0.0	0.97	0.96
25	0.999	0.999	0.952	0.001	0.604	0.0	0.0	0.0	0.0	1.0	0.915
26	0.997	0.999	0.902	0.0	0.512	0.0	0.0	0.0	0.0	1.0	0.963
27	0.995	0.994	0.848	0.037	0.38	0.0	0.0	0.0	0.0	1.0	0.858
28	0.992	0.998	0.852	0.121	0.195	0.0	0.0	0.0	0.0	1.0	1.0
29	0.989	0.999	0.779	0.277	0.191	0.0	0.0	0.0	0.0	1.0	1.0
30	0.976	0.999	0.854	0.556	0.728	0.0	0.0	0.0	0.0	1.0	1.0
31	0.863	0.999	0.773	0.651	0.925	0.0	0.0	0.0	0.0	1.0	1.0
32	0.902	0.999	0.648	0.645	0.942	0.0	0.0	0.0	0.0	1.0	1.0
33	0.968	0.997	0.931	0.892	0.931	0.0	0.0	0.0	0.0	1.0	1.0
34	0.999	0.985	0.787	0.905	0.977	0.0	0.0	0.0	0.0	1.0	1.0
35	1.0	0.998	0.78	0.879	0.98	0.0	0.0	0.0	0.0	0.985	0.988
36	1.0	0.999	0.686	0.869	0.883	0.0	0.0	0.0	0.0	0.872	0.888
37	1.0	0.999	0.819	0.491	0.999	0.0	0.0	0.0	0.0	0.712	0.854
38	1.0	0.999	0.863	0.885	0.999	0.0	0.0	0.0	0.0	0.639	0.861
39	1.0	0.999	0.855	0.985	0.999	0.0	0.0	0.0	0.0	0.618	0.884
40	1.0	0.999	0.852	0.994	0.999	0.0	0.0	0.0	0.0	0.641	0.863
41	1.0	0.999	0.803	0.997	0.999	0.0	0.0	0.0	0.0	0.738	0.764
42	1.0	0.999	0.646	0.977	0.999	0.0	0.0	0.0	0.0	0.863	0.648
43	1.0	0.999	0.691	0.982	0.999	0.0	0.0	0.0	0.0	0.926	0.757
44	1.0	0.999	0.779	0.999	0.999	0.0	0.0	0.0	0.0	0.971	0.937
45	1.0	0.999	0.823	1.0	0.999	0.0	0.0	0.0	0.0	0.995	0.999
46	1.0	0.999	0.919	1.0	0.999	0.0	0.0	0.0	0.0	0.992	1.0
47	1.0	0.997	0.879	1.0	0.979	0.0	0.0	0.0	0.0	0.985	1.0
48	1.0	0.996	0.924	0.999	0.898	0.0	0.0	0.0	0.0	0.979	1.0
49	1.0	0.996	0.969	0.999	0.876	0.0	0.0	0.0	0.0	0.976	0.999
50	1.0	0.999	0.992	0.996	0.977	0.0	0.0	0.0	0.0	0.974	0.983
51	1.0	0.999	0.981	0.952	0.977	0.0	0.0	0.0	0.0	0.97	0.951
52	1.0	0.998	0.765	0.925	0.916	0.0	0.0	0.0	0.0	0.933	0.899
53	1.0	0.996	0.185	0.726	0.974	0.0	0.0	0.0	0.0	0.847	0.891
54	1.0	0.996	0.084	0.797	0.95	0.0	0.0	0.0	0.0	0.642	0.908
55	1.0	0.998	0.414	0.861	0.964	0.0	0.0	0.0	0.0	0.458	0.796
56	1.0	0.999	0.685	0.878	0.991	0.0	0.0	0.0	0.0	0.315	0.584
57	1.0	0.997	0.359	0.849	0.996	0.0	0.0	0.0	0.0	0.204	0.424
58	1.0	0.989	0.103	0.866	0.993	0.0	0.0	0.0	0.0	0.138	0.435
59	1.0	0.984	0.16	0.685	0.981	0.0	0.0	0.0	0.0	0.079	0.386
60	0.998	0.912	0.172	0.516	0.947	0.0	0.0	0.0	0.0	0.041	0.344
61	0.995	0.905	0.334	0.483	0.953	0.0	0.0	0.0	0.0	0.024	0.267
62	0.974	0.91	0.526	0.206	0.952	0.0	0.0	0.0	0.0	0.0	0.199
63	0.897	0.77	0.552	0.178	0.907	0.0	0.0	0.0	0.0	0.001	0.106
64	0.917	0.603	0.512	0.111	0.872	0.0	0.0	0.0	0.0	0.001	0.032
65	0.75	0.518	0.297	0.205	0.664	0.0	0.0	0.0	0.0	0.0	0.015
66	0.626	0.469	0.262	0.15	0.555	0.0	0.0	0.0	0.0	0.0	0.026
67	0.692	0.398	0.243	0.188	0.851	0.0	0.0	0.0	0.0	0.016	0.005
68	0.748	0.575	0.211	0.692	0.818	0.0	0.0	0.0	0.0	0.022	0.038
69	0.771	0.801	0.19	0.817	0.581	0.0	0.0	0.0	0.0	0.053	0.053
70	0.932	0.712	0.11	0.86	0.623	0.0	0.0	0.0	0.0	0.107	0.196
