param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
1	2234.75	1394.16	2501.31	803.44	1301.96	1947.25	1554.49	485.09	842.04	7348.69	3141.28
2	2170.98	1353.02	2449.28	800.17	1260.58	1890.38	1486.0	477.71	808.28	7145.9	3004.31
3	2136.38	1320.23	2403.3	791.82	1242.31	1864.49	1442.32	472.02	779.48	6951.09	2884.64
4	2134.08	1298.09	2369.3	794.36	1229.48	1851.06	1440.75	456.65	749.72	6807.1	2815.91
5	2112.54	1297.97	2331.19	798.6	1233.72	1849.97	1440.14	459.2	741.37	6742.12	2794.98
6	2129.24	1323.01	2376.56	802.47	1258.64	1855.41	1455.63	465.73	756.37	6770.43	2816.03
7	2187.68	1367.78	2453.52	816.63	1297.85	1905.75	1484.19	480.49	770.77	6922.77	2870.0
8	2249.03	1412.07	2523.33	820.38	1345.76	1952.21	1504.51	492.83	783.84	7031.79	2887.54
9	2273.71	1432.64	2582.14	839.74	1406.02	2025.66	1555.94	509.89	798.24	7222.61	2963.9
10	2329.13	1478.98	2665.27	835.5	1448.25	2094.75	1610.63	513.77	823.77	7439.32	3076.06
11	2365.67	1509.96	2705.2	800.05	1478.5	2136.13	1646.93	528.89	861.28	7624.09	3177.22
12	2372.93	1529.2	2677.73	795.21	1479.59	2148.23	1653.83	526.71	874.1	7811.4	3232.27
13	2382.01	1540.81	2643.73	793.52	1464.34	2151.14	1659.76	522.48	897.21	7896.46	3253.08
14	2389.99	1532.83	2631.63	777.42	1442.56	2138.8	1637.98	521.39	889.47	7933.24	3247.04
15	2384.06	1527.87	2652.68	775.13	1419.57	2121.25	1625.88	526.47	895.16	7960.47	3261.43
16	2401.73	1556.54	2704.35	778.64	1428.53	2128.03	1660.48	519.82	906.05	8020.73	3322.9
17	2486.79	1649.71	2848.82	798.36	1485.64	2250.24	1750.51	560.47	962.31	8236.11	3568.65
18	2664.66	1809.43	3048.47	821.59	1586.92	2396.53	1888.2	620.61	1039.51	8569.1	3911.2
19	2669.99	1794.91	3038.67	825.1	1582.2	2382.73	1886.39	632.35	1051.25	8569.1	3923.55
20	2653.89	1756.68	2988.22	823.4	1549.89	2353.69	1860.74	626.54	1040.72	8499.28	3856.51
21	2601.62	1699.69	2935.82	839.62	1501.0	2281.94	1814.64	603.18	1017.73	8356.14	3755.96
22	2502.16	1615.23	2800.18	828.73	1419.09	2175.94	1739.5	563.86	965.22	8137.73	3580.27
23	2366.76	1497.38	2623.76	796.91	1313.58	2040.91	1616.92	519.21	891.65	7784.29	3312.98
24	2227.85	1385.69	2499.98	802.11	1244.12	1927.65	1517.82	475.05	822.8	7368.17	3052.59
25	2157.91	1328.34	2408.26	789.4	1193.06	1865.82	1433.61	466.09	779.0	7019.69	2870.36
26	2110.0	1293.13	2359.74	783.35	1177.45	1835.33	1407.35	434.87	756.25	6754.34	2757.23
27	2092.7	1280.66	2355.99	782.14	1169.59	1821.05	1393.68	427.49	733.5	6612.77	2717.66
28	2091.48	1279.7	2352.24	784.32	1177.94	1821.29	1389.93	427.98	722.85	6553.0	2705.08
29	2133.84	1316.24	2397.86	794.85	1204.19	1854.81	1407.11	437.29	735.08	6611.32	2743.55
