param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
1	3393.97	2133.19	3675.4	1214.56	1837.71	2769.54	2278.15	672.72	1296.09	11275.89	4724.5
2	3529.62	2218.63	3828.2	1278.89	1896.25	2863.8	2342.5	699.71	1341.26	11741.7	4870.43
3	3539.26	2215.78	3829.95	1285.59	1899.97	2871.07	2330.96	701.73	1332.3	11709.29	4824.14
4	3564.32	2214.57	3829.88	1297.29	1902.65	2880.2	2346.98	693.77	1318.16	11680.97	4804.44
5	3630.94	2268.0	3886.13	1330.83	1947.71	2942.61	2400.68	710.7	1344.01	11911.15	4903.28
6	3725.86	2340.14	4007.96	1362.9	2008.25	3007.94	2465.58	730.35	1387.88	12207.35	5032.28
7	3861.23	2432.35	4162.06	1405.58	2083.52	3114.84	2545.08	757.85	1433.56	12626.04	5196.66
8	3987.36	2516.78	4298.18	1435.53	2160.26	3209.82	2610.33	781.31	1473.63	12969.83	5314.95
9	3967.81	2508.45	4305.25	1437.31	2190.39	3240.55	2627.17	788.39	1470.02	12993.17	5323.08
10	3843.97	2439.18	4197.6	1373.44	2141.77	3170.43	2563.43	761.78	1425.31	12601.79	5182.39
11	3675.35	2338.71	4023.92	1273.39	2068.88	3055.52	2465.76	739.35	1379.18	12085.87	4992.46
12	3515.78	2249.62	3829.11	1210.47	1988.26	2941.35	2365.14	708.46	1325.54	11683.89	4810.18
13	3369.61	2161.78	3641.28	1154.38	1900.0	2828.5	2271.36	677.96	1285.03	11237.43	4615.97
14	3256.91	2079.53	3507.25	1098.62	1823.26	2728.83	2176.75	656.1	1232.34	10866.62	4446.83
15	3178.44	2028.78	3448.18	1070.54	1768.03	2659.15	2119.51	647.37	1208.5	10641.71	4357.51
16	3151.83	2026.35	3448.04	1058.78	1755.14	2633.85	2121.64	634.63	1201.51	10552.92	4351.62
17	3252.02	2122.3	3598.52	1085.71	1817.06	2757.27	2215.24	673.48	1259.61	10831.46	4595.85
18	3458.91	2292.28	3825.77	1126.23	1930.25	2923.08	2367.5	733.7	1346.65	11308.06	4961.34
19	3509.9	2309.82	3866.1	1145.71	1949.29	2946.63	2395.92	751.59	1374.42	11464.74	5035.64
20	3534.68	2302.37	3863.99	1157.86	1941.34	2951.19	2399.17	753.48	1380.5	11535.11	5032.63
21	3503.32	2262.78	3833.0	1175.47	1906.77	2900.76	2368.68	736.26	1366.09	11456.62	4965.82
22	3444.95	2208.09	3745.67	1174.95	1850.8	2831.04	2321.88	707.95	1331.93	11356.25	4853.4
23	3361.97	2129.02	3629.92	1158.94	1777.84	2741.12	2239.14	676.13	1282.35	11161.38	4672.28
24	3260.22	2045.0	3541.19	1167.89	1726.87	2657.31	2165.63	641.92	1230.52	10861.39	4475.04
25	3212.09	2003.73	3475.45	1160.83	1689.43	2613.46	2102.24	636.22	1198.07	10605.92	4337.75
26	3167.72	1971.61	3430.39	1154.13	1674.18	2584.69	2077.48	609.58	1177.42	10370.58	4237.69
27	3159.24	1965.0	3433.34	1155.2	1670.54	2577.25	2069.91	604.51	1160.87	10273.13	4212.99
28	3171.91	1972.87	3444.45	1161.87	1684.18	2587.7	2075.59	607.31	1157.38	10269.72	4221.4
29	3234.37	2020.48	3510.69	1180.34	1719.39	2636.0	2107.42	619.83	1178.13	10410.25	4290.98
30	3352.03	2119.22	3661.8	1209.19	1782.64	2735.79	2194.96	643.87	1231.85	10792.83	4460.01
31	3539.37	2271.33	3896.63	1255.49	1909.76	2926.22	2328.8	698.66	1315.65	11466.32	4788.71
32	3696.63	2375.44	4031.21	1282.85	1986.92	3031.83	2413.73	721.07	1391.33	12048.66	4983.89
33	3695.25	2365.84	4003.49	1266.34	2011.81	3012.7	2397.94	709.95	1404.44	12227.85	4962.47
34	3605.81	2312.88	3894.4	1218.28	1977.51	2937.28	2320.11	687.29	1371.62	12045.65	4790.98
35	3493.2	2236.3	3768.1	1167.2	1915.25	2819.42	2227.14	658.65	1321.57	11694.17	4595.78
36	3395.41	2165.07	3641.31	1123.56	1857.41	2721.49	2154.61	625.88	1270.66	11342.8	4411.34
37	3301.48	2103.75	3510.65	1089.83	1790.41	2659.9	2084.39	610.21	1232.54	11027.97	4247.95
38	3212.83	2038.18	3401.96	1058.71	1748.52	2602.93	2033.0	598.43	1195.66	10736.65	4118.55
39	3066.21	1962.77	3304.2	1025.92	1691.03	2524.92	1974.93	582.21	1162.64	10429.13	4007.01
40	2992.49	1943.58	3268.63	1012.81	1675.11	2500.78	1960.39	583.38	1173.01	10350.02	4027.74
41	3099.03	2018.26	3376.56	1024.36	1747.87	2613.13	2053.99	619.56	1216.66	10643.27	4288.14
42	3300.37	2168.5	3585.66	1030.3	1863.11	2755.01	2189.72	673.1	1293.37	10978.21	4634.85
43	3324.88	2173.16	3586.66	1062.58	1876.51	2758.15	2214.35	689.52	1305.39	10930.16	4679.69
44	3317.32	2149.46	3566.37	1063.47	1856.35	2734.18	2215.54	689.72	1306.47	10893.96	4655.21
45	3286.27	2118.05	3524.6	1058.73	1822.29	2687.34	2196.17	677.08	1288.99	10810.47	4604.41
46	3227.82	2054.85	3428.25	1049.21	1763.26	2603.65	2139.79	653.35	1255.56	10661.09	4477.69
47	3159.8	1979.3	3330.01	1032.8	1676.92	2500.1	2053.02	616.4	1188.97	10343.67	4269.01
48	3052.33	1900.67	3236.47	1024.85	1603.13	2409.7	1975.27	582.28	1127.09	9962.16	4058.01
49	2991.87	1859.97	3187.79	1021.82	1571.14	2366.98	1929.69	566.7	1098.84	9689.93	3929.26
50	2956.27	1851.88	3195.34	1022.4	1550.13	2350.76	1919.57	557.74	1089.91	9505.88	3863.47
51	2949.43	1853.65	3202.24	1027.16	1560.83	2354.18	1923.53	560.02	1086.32	9444.89	3842.66
52	2988.39	1882.87	3236.62	1041.96	1568.47	2390.05	1954.7	572.57	1101.12	9539.07	3894.89
53	3071.72	1942.89	3339.27	1067.1	1616.86	2460.37	2010.48	585.62	1130.86	9769.49	4008.67
54	3178.08	2026.35	3490.44	1092.17	1683.88	2555.48	2081.1	625.68	1181.4	10133.57	4170.46
55	3382.78	2181.01	3747.12	1139.23	1828.49	2757.41	2226.12	673.68	1280.61	10832.04	4489.27
56	3540.88	2298.54	3876.83	1164.58	1922.4	2870.45	2316.57	705.04	1365.89	11504.43	4713.53
57	3475.43	2262.71	3801.62	1145.59	1910.51	2822.49	2284.23	689.09	1353.31	11570.67	4630.56
58	3318.54	2170.38	3611.78	1060.54	1827.23	2701.95	2145.91	654.37	1291.3	11198.91	4366.01
59	3158.25	2081.86	3426.29	995.29	1730.68	2542.27	2055.99	603.21	1222.76	10714.87	4093.06
60	2992.78	1974.99	3264.22	964.81	1634.58	2412.2	1951.88	566.23	1151.74	10229.18	3843.89
61	2837.68	1850.17	3111.12	930.08	1548.29	2302.88	1852.03	545.02	1099.75	9839.84	3687.39
62	2769.15	1778.39	3019.98	898.39	1497.14	2226.11	1783.96	520.77	1061.49	9507.96	3540.05
63	2698.79	1727.06	2932.11	865.55	1456.51	2174.19	1727.76	515.68	1035.58	9265.25	3480.89
64	2653.77	1698.34	2882.02	866.3	1431.62	2164.06	1726.27	510.88	1030.51	9184.9	3496.73
65	2717.74	1752.98	2986.43	886.89	1479.17	2281.85	1820.49	536.28	1077.77	9422.96	3737.67
66	2904.59	1889.4	3224.27	923.44	1594.58	2465.24	1955.47	598.8	1160.19	9822.75	4102.12
67	2970.62	1914.24	3303.58	938.61	1627.06	2511.51	1998.54	635.29	1182.13	9860.2	4205.67
68	2996.06	1912.14	3323.15	910.12	1635.41	2510.91	2009.88	638.95	1186.76	9851.0	4215.33
69	2963.24	1879.03	3276.62	907.09	1607.76	2463.02	1986.47	621.01	1166.13	9692.5	4157.63
70	2884.66	1805.63	3163.93	920.27	1549.49	2367.77	1930.9	590.14	1134.76	9457.89	4025.23
71	2779.43	1714.48	3032.74	914.83	1477.15	2260.49	1860.28	547.48	1077.33	9181.06	3840.07
72	2651.16	1626.13	2937.03	900.97	1418.06	2148.84	1777.09	515.01	1013.48	8749.16	3594.43
73	2560.93	1561.26	2860.41	891.4	1365.17	2085.74	1673.04	481.8	960.1	8359.31	3392.13
74	2522.3	1535.72	2819.01	888.36	1340.41	2067.57	1639.74	469.12	930.64	8141.43	3284.37
75	2534.41	1538.97	2809.86	895.16	1339.71	2072.38	1634.4	465.96	922.69	8058.65	3253.91
76	2576.37	1569.84	2832.17	912.56	1370.53	2111.79	1662.96	466.81	934.81	8149.75	3307.31
77	2674.04	1642.39	2933.77	945.75	1430.4	2195.19	1715.69	484.09	970.07	8449.98	3436.14
78	2823.45	1756.21	3150.64	986.03	1511.92	2321.12	1810.09	513.97	1028.99	8933.57	3611.62
79	3052.71	1930.61	3437.27	1040.69	1644.64	2524.21	1936.52	560.17	1116.92	9584.27	3842.93
